Fn,CCPSO,PSO
F1,4.1774e+08 (2.6698e+08) +,1.3989e+11 (3.9032e+10)
F3,5.4266e+04 (1.4905e+04) +,7.7990e+04 (2.3308e+04)
F4,1.0285e+02 (3.0612e+01) +,1.8832e+03 (9.9411e+02)
F5,1.0913e+02 (2.0035e+01) +,2.0097e+02 (3.5519e+01)
F6,3.2163e+01 (1.0947e+01) +,6.1137e+01 (1.0082e+01)
F7,1.4607e+02 (4.0146e+01) +,4.6902e+02 (9.0951e+01)
F8,9.3077e+01 (2.2046e+01) +,1.6852e+02 (2.7464e+01)
F9,1.2518e+03 (6.8188e+02) +,3.7992e+03 (1.4042e+03)
F10,3.7582e+03 (5.2609e+02) +,4.2237e+03 (7.4168e+02)
F11,1.6970e+02 (4.4907e+01) +,8.2771e+02 (4.0388e+02)
F12,2.9738e+07 (2.9809e+07) +,2.8323e+09 (1.5947e+09)
F13,1.0026e+05 (1.0622e+05) +,1.0769e+07 (3.0097e+07)
F14,1.1877e+05 (1.0265e+05) +,4.8278e+05 (5.2583e+05)
F15,3.5531e+04 (1.9454e+04) +,8.2080e+04 (6.6853e+04)
F16,9.8331e+02 (2.7311e+02) +,1.4007e+03 (2.9620e+02)
F17,4.8777e+02 (2.3807e+02) +,6.9160e+02 (2.6627e+02)
F18,6.3674e+05 (4.5322e+05) +,2.9595e+06 (5.2099e+06)
F19,3.0843e+05 (5.8391e+05) +,2.1816e+07 (3.0474e+07)
F20,4.5438e+02 (1.9217e+02) +,5.5244e+02 (1.6955e+02)
F21,2.9857e+02 (2.4353e+01) +,3.9263e+02 (3.9132e+01)
F22,1.7462e+03 (1.9608e+03) +,3.8785e+03 (1.3569e+03)
F23,5.2655e+02 (3.9411e+01) +,6.9719e+02 (7.4414e+01)
F24,5.9981e+02 (5.8117e+01) +,7.6408e+02 (9.0726e+01)
F25,4.2522e+02 (3.1213e+01) +,1.0005e+03 (1.9525e+02)
F26,2.6404e+03 (9.6947e+02) +,4.4721e+03 (9.3991e+02)
F27,4.8713e+02 (1.0612e+01) +,6.2811e+02 (6.8716e+01)
F28,5.0123e+02 (3.7276e+01) +,1.6971e+03 (5.0597e+02)
F29,1.0139e+03 (1.8505e+02) +,1.7494e+03 (3.9787e+02)
F30,2.0281e+06 (2.0229e+06) +,7.3062e+07 (1.0543e+08)
w/t/l,29/0/0,
